RB, JJS, IN, 2
NNS, RBR, DT, 2
DT, DT, RB, 5
NN, DT, RBR, 31
PRP, DT, NNS, 32
IN, VBG, NN, 224
RB, JJ, VB, 3
PRP, PRP, WP, 2
PRP$, JJS, NNS, 9
VBD, VBN, CC, 176
PRP$, RB, NNS, 2
CD, VBN, -NONE-, 1
DT, WP$, NN, 1
NNS, VBD, TO, 153
JJ, TO, NNP, 4
VBP, VBN, IN, 401
-NONE-, RB, VBN, 1
CC, VBG, VBD, 6
CC, IN, JJ, 135
VBD, RP, NN, 18
RB, NNS, WP$, 1
JJ, JJR, TO, 1
NN, NNS, WP, 42
IN, JJR, PRP, 1
RBS, JJ, CD, 1
PDT, DT, JJ, 5
VBZ, IN, VBN, 14
NNS, VBZ, IN, 69
CC, JJ, WDT, 2
NN, NNS, JJR, 9
VBG, CC, JJ, 34
NNS, WP, MD, 24
IN, JJ, VBN, 46
VBG, IN, JJS, 3
VBG, JJ, WRB, 1
DT, CC, TO, 2
RB, RB, DT, 180
IN, VBD, NN, 13
RB, WP, IN, 7
JJ, JJ, VBZ, 14
CC, JJR, NN, 26
RP, EX, CC, 2
DT, IN, CD, 5
CD, NNS, PRP, 32
MD, VB, DT, 953
DT, RB, RBR, 31
PRP, RB, PRP, 41
CD, NNS, WRB, 6
RP, VB, DT, 1
RP, JJ, NNS, 18
RB, PRP, VBZ, 143
VBG, VBN, PRP$, 9
VBG, CC, WRB, 1
NNP, NNS, DT, 1
VBP, VBN, NNS, 43
DT, JJR, VBG, 1
TO, CD, NNS, 16
RBR, JJ, NNS, 37
VBD, NNP, TO, 2
VB, WRB, NNS, 8
PRP, PRP$, CC, 1
NNS, NN, PRP$, 2
NNS, WDT, DT, 52
JJ, RBS, NNS, 1
VBG, NN, JJ, 15
CC, VB, VBZ, 1
PDT, RB, TO, 2
NNS, NNP, NNP, 5
VBD, EX, NN, 1
JJ, NN, VBP, 114
CD, DT, TO, 1
VBZ, PRP, PRP, 5
VBZ, TO, DT, 40
NNP, NN, PRP, 23
RP, VBN, PRP$, 1
JJS, CC, JJS, 13
VBZ, DT, TO, 3
EX, RB, NN, 2
IN, NNP, VBP, 2
CD, NNS, MD, 17
NNS, NNP, PRP$, 1
VB, VBG, VBN, 3
VBG, TO, JJR, 2
VBD, WRB, IN, 2
RB, NN, RP, 1
RB, VBP, VBP, 2
CC, TO, PRP$, 6
JJR, NN, CC, 26
JJR, NN, CD, 1
VBN, VBN, WRB, 1
VBN, -NONE-, VBG, 1
PRP, EX, VBP, 1
CC, RB, CD, 10
VBN, DT, CD, 8
NNS, CD, VBZ, 4
NNS, JJS, JJ, 4
NNS, WP, VBN, 46
IN, WP, VBP, 2
VBG, VBN, DT, 16
WDT, VB, NNS, 1
VBD, CC, WP, 5
NNS, VBG, NNS, 47
RP, TO, RB, 2
PDT, CD, NNS, 1
NNP, RBS, RB, 1
CD, VBZ, CC, 1
DT, PRP, VBP, 49
NNS, RB, WRB, 9
NN, VBZ, JJ, 413
RBS, RB, NN, 1
NN, NN, MD, 373
IN, VBG, IN, 209
VBZ, RBR, RB, 4
VBP, RP, VBG, 3
VBN, PRP, VBD, 99
VBD, VBG, WRB, 7
NN, NNP, NNS, 14
NN, VBP, PRP, 36
VB, VBZ, VB, 5
CC, VBG, RP, 10
VBZ, VB, TO, 1
RB, WDT, VBD, 2
-NONE-, VBP, VBP, 1
-NONE-, RB, VB, 1
VBD, IN, CC, 43
DT, RBR, NN, 3
JJS, VB, PRP, 2
DT, RBS, JJ, 157
RBR, WRB, PRP$, 1
RP, TO, WRB, 1
NN, CD, DT, 1
VB, NNS, RBR, 7
WDT, VBZ, RB, 58
VB, IN, VBZ, 6
VBP, NN, VBG, 8
JJ, RB, PRP$, 2
RP, WRB, PRP, 7
JJR, VBN, NNS, 6
WRB, RB, VBG, 3
VBN, RB, MD, 5
VB, VBP, TO, 1
WP, NN, VBP, 12
DT, DT, IN, 4
RB, VBZ, RBS, 2
JJS, VBG, CC, 1
NN, VB, IN, 15
MD, IN, VBD, 1
NNS, NNS, JJS, 1
JJ, DT, RBR, 6
NNS, VBN, VBZ, 4
DT, PRP, VB, 1
DT, CD, VBG, 8
VBG, PRP$, RB, 1
VBZ, VB, JJ, 5
NN, VBZ, VB, 11
MD, NN, VB, 3
VBG, NNS, VB, 5
VBN, CD, IN, 23
CC, EX, VBZ, 50
PRP, CC, JJS, 1
IN, JJS, VBZ, 2
WDT, VBP, TO, 7
CC, IN, VBP, 1
DT, VBZ, MD, 2
VBP, PRP, IN, 91
NNP, NNS, CC, 5
JJS, CD, NNS, 10
CC, WRB, PRP, 79
NN, JJ, JJ, 43
IN, WRB, NNS, 9
VBD, NN, TO, 104
WRB, VBP, IN, 1
VBG, IN, CD, 19
WDT, VBD, NN, 12
NN, CD, CD, 1
DT, TO, JJ, 2
NNS, RB, RB, 114
NN, CC, IN, 649
VBZ, RB, JJ, 374
VBP, CC, PRP$, 6
RB, VBZ, EX, 1
VBG, IN, MD, 4
PRP, PRP, CD, 1
VBN, VBG, IN, 77
CC, JJR, VBD, 2
IN, JJ, NN, 2699
VBP, DT, PRP$, 1
DT, VBN, JJS, 1
RB, CC, NNS, 16
NNP, VBZ, RB, 1
NNP, NNP, VBZ, 21
TO, DT, IN, 37
PRP, JJR, JJ, 5
VBN, PRP$, VBN, 1
CC, CD, VBN, 4
NNS, NN, CC, 78
RB, VB, NNP, 2
VBZ, VB, VBN, 1
RB, JJS, VB, 1
PRP, IN, DT, 679
VBZ, RB, VBZ, 13
VBP, RP, VBN, 1
VBP, DT, RBR, 6
CC, VBD, NNS, 64
VBD, MD, DT, 1
NNS, JJ, MD, 1
CD, RB, NN, 1
RB, VBN, RB, 90
PRP, VBZ, DT, 470
NNP, CD, VBD, 1
TO, PRP$, NNS, 102
MD, DT, VB, 7
RB, NNS, PRP, 7
CC, VBZ, PRP$, 1
VB, VBN, RBR, 17
VB, CC, WP$, 1
JJS, JJ, WRB, 1
CC, NNS, NNP, 1
VBP, NN, VBN, 17
NN, JJ, TO, 62
RB, VBN, WP$, 1
JJR, NNS, PRP$, 2
TO, NNS, VBG, 5
CD, VBZ, DT, 9
IN, -NONE-, NN, 2
DT, VBZ, VBN, 47
IN, PRP$, DT, 17
NNS, NNS, NNP, 5
NNS, VBD, JJR, 19
WDT, DT, TO, 2
NN, IN, RB, 479
VBZ, VBN, RP, 35
DT, VBG, CD, 4
VB, VBN, CC, 117
IN, NNS, RB, 121
VBN, WP, DT, 1
TO, NN, WP, 4
NNP, VBD, MD, 6
NN, NNP, VBP, 2
VBZ, PRP, WRB, 3
JJ, JJ, WRB, 7
CC, JJ, VBN, 12
CC, NN, TO, 117
RBR, DT, JJ, 1
NNP, PRP$, JJ, 1
VB, NN, VB, 25
PRP, DT, WRB, 2
IN, WP, JJ, 11
VBG, RP, JJR, 1
JJ, VBD, NNS, 2
NN, RP, CC, 5
RP, CD, JJ, 3
RB, VBG, NNS, 45
VBP, VBD, VBN, 12
DT, NN, RP, 35
DT, VBZ, PRP$, 14
WP, PRP, RB, 17
RP, TO, NNS, 3
IN, RB, NNS, 33
NN, NNS, RBR, 12
VB, NNS, TO, 43
CC, VBG, CD, 3
CD, JJ, WRB, 1
DT, VBG, TO, 7
EX, PRP, RB, 1
WRB, IN, NNS, 4
PRP, DT, RBR, 11
JJS, IN, PRP$, 29
JJ, VBZ, JJ, 33
WDT, NN, MD, 14
JJ, PRP, PRP$, 3
CD, WP$, NNS, 1
VBN, VBN, VBG, 6
VBN, NN, WDT, 6
MD, PRP, VBD, 10
NN, DT, WP, 6
PRP, MD, DT, 5
VBD, NN, DT, 49
DT, VBG, RP, 2
JJ, NN, WP$, 4
JJR, NN, VBZ, 14
RB, VBD, WDT, 2
NN, RB, RP, 1
NNP, PRP$, NN, 5
WDT, RB, CD, 1
VBZ, NN, PRP, 10
VBN, MD, VB, 40
RB, NN, NN, 63
TO, RB, IN, 11
IN, NN, VBZ, 389
VBD, NNS, MD, 14
TO, PRP, PRP$, 8
IN, IN, VBZ, 2
NNS, VBN, PRP, 26
VBD, VBD, PRP, 4
RB, IN, JJR, 13
PDT, IN, NNS, 1
RB, RBR, VBZ, 2
RP, VBZ, IN, 2
WDT, IN, PRP, 16
VBG, RB, RB, 45
TO, VB, NNS, 323
NNP, NN, VBP, 3
NN, VBP, IN, 35
VBP, TO, PRP$, 10
PRP, VBP, IN, 530
VBG, PRP$, NNS, 78
VBP, RP, WRB, 2
TO, CD, CD, 2
WDT, VB, JJ, 1
VBN, -NONE-, NN, 6
PRP, CC, CD, 2
WRB, JJ, VBD, 7
VBD, JJS, NNS, 1
DT, JJ, JJS, 7
DT, CD, IN, 52
CC, JJ, VBP, 19
JJS, RB, WRB, 2
JJS, NNS, VBG, 5
VBZ, CD, VB, 1
VBN, VBN, WDT, 1
JJS, RB, PRP, 2
VBZ, IN, WP$, 1
JJ, NNS, WP, 68
VBP, TO, NNP, 2
DT, IN, NNS, 19
CD, JJ, CC, 8
VBG, RB, VBZ, 4
PRP$, CD, NN, 4
WP, NN, CC, 8
NN, TO, JJR, 5
RP, CD, RB, 1
EX, RB, MD, 1
NNS, VBN, DT, 49
TO, JJ, WRB, 1
DT, NN, WRB, 238
RBR, RB, WRB, 1
RB, PRP, TO, 1
RBR, CC, VB, 1
JJR, TO, NN, 5
PRP, IN, VBN, 7
RB, JJ, TO, 274
VBD, IN, WP, 12
VBN, TO, NNS, 28
CC, CD, DT, 5
JJS, VBZ, VBN, 1
WDT, VBP, VBP, 2
VBP, RBR, IN, 4
DT, VBP, JJS, 1
VBP, NNS, WP, 12
VBP, CC, JJS, 2
RB, DT, CD, 20
DT, RBR, VBG, 3
NNS, DT, DT, 17
VBD, CC, VBZ, 5
DT, TO, NN, 3
RB, JJ, NNS, 315
WP, NNS, VBP, 29
VBP, CD, IN, 9
VBP, VBP, NNP, 1
WP, VBZ, RB, 55
NNP, WP, -NONE-, 1
VBD, -NONE-, RB, 3
VBZ, WRB, PRP, 17
NN, VBN, -NONE-, 1
WP$, NN, VBD, 12
PRP, DT, JJS, 4
VBG, IN, PRP, 179
VB, TO, CD, 1
JJ, NNP, VBZ, 1
RP, WDT, VBN, 1
IN, RB, VBN, 77
VBZ, -NONE-, JJ, 1
NNS, IN, VBD, 18
RBR, VBZ, DT, 1
PRP$, IN, CC, 2
VBN, IN, TO, 31
VBN, WDT, VBD, 1
VBZ, RB, DT, 226
VBZ, DT, WRB, 1
JJ, IN, DT, 1479
JJR, CD, IN, 2
TO, NN, CC, 64
VBZ, JJ, JJ, 25
CD, VBG, DT, 2
WRB, NN, RB, 5
NNP, NN, VBD, 195
PRP, CD, RP, 1
RBS, RB, VBP, 1
CD, PRP, VB, 1
IN, VBZ, WP, 1
TO, NNP, NN, 40
JJ, RB, VBG, 18
VB, NNS, WDT, 20
VB, VBG, TO, 12
RB, RB, NN, 54
DT, NNP, VBP, 2
NNS, VBZ, JJR, 7
RB, JJS, EX, 1
NN, VBG, DT, 269
VBD, JJR, TO, 15
TO, VB, VBN, 570
JJ, NNS, JJ, 133
VB, JJ, JJR, 5
NN, VBD, PRP, 484
VB, IN, VBG, 35
JJ, IN, WRB, 11
RB, VBD, VBD, 13
VBP, IN, WP, 9
VBN, RBR, NN, 2
WRB, JJR, NNS, 1
JJR, RB, VBN, 8
NN, VBN, WRB, 8
PRP, TO, PRP, 13
VBN, JJR, NN, 5
DT, NN, TO, 1153
CC, NN, WDT, 20
VBD, VBG, IN, 272
JJS, VBD, IN, 2
RP, PRP, VBZ, 2
IN, RB, RB, 94
VBD, IN, JJ, 276
VBZ, CC, NNS, 42
PRP, VBN, VBN, 4
VBZ, VBN, RB, 155
CD, NNS, TO, 41
RBR, NN, WRB, 1
DT, TO, NNS, 1
JJ, MD, PRP, 11
PRP$, NNP, NNS, 1
NNP, VBD, VBD, 6
CD, NN, VBZ, 30
JJS, VBZ, RB, 3
RB, VBN, PRP, 110
PRP, IN, VBG, 80
NN, CD, JJ, 15
DT, JJR, RBR, 2
TO, JJ, RB, 6
JJ, PRP, MD, 64
NNS, IN, IN, 184
VB, JJ, VBP, 1
NN, VBG, WDT, 1
JJ, NNS, PRP$, 27
RB, VB, PRP$, 109
RP, VBG, RB, 4
CC, PRP, VBD, 792
VB, VBD, NN, 1
VBD, RP, WP, 3
VB, DT, RB, 75
VBD, JJ, DT, 61
VBD, PRP, IN, 374
RBR, NNS, MD, 1
VBG, VBP, IN, 1
NN, CD, VBZ, 5
WDT, JJS, NNS, 2
IN, DT, RP, 1
VBN, NN, WP$, 3
CC, NN, NN, 545
NNS, JJ, VBP, 4
VBZ, PRP, JJR, 7
VBP, VBN, JJ, 77
PRP, CD, IN, 6
VB, PDT, CC, 1
RB, EX, RB, 3
WP, VBP, VBZ, 2
VB, DT, CC, 15
VBN, WRB, CC, 1
DT, VBG, RB, 4
CC, WRB, JJ, 26
VBZ, PRP$, NNS, 14
VBG, VBZ, NN, 5
MD, VB, EX, 2
VBG, VBD, NN, 5
RBR, VBD, NNS, 1
IN, PRP, EX, 6
VBZ, CC, VBN, 1
VBG, VBN, NN, 15
VBD, CD, WDT, 2
TO, NNS, DT, 12
EX, VBN, TO, 3
-NONE-, RB, MD, 1
IN, IN, VBG, 27
VBP, CC, NNS, 13
RB, VBN, VBG, 23
NNS, NNS, WP$, 2
TO, RB, VB, 18
NN, VBG, NNS, 92
VBN, IN, JJS, 20
VBD, PRP$, NNS, 149
NN, WRB, DT, 143
RB, TO, VBZ, 1
IN, VBZ, PRP$, 4
WRB, MD, NNS, 1
VBD, JJ, NNS, 123
VBZ, VBN, CC, 56
MD, RB, JJ, 3
WRB, JJ, VBZ, 11
RP, IN, VBG, 2
PRP, PRP, VBP, 46
DT, CD, TO, 3
VBZ, DT, VBN, 30
CC, NNS, VBZ, 11
JJ, CC, MD, 12
VBZ, NN, MD, 5
VBD, IN, EX, 19
JJ, JJ, TO, 28
NNS, NNS, VBZ, 8
IN, CD, NNS, 271
NNS, NNP, NN, 31
NN, WDT, NN, 94
CD, PRP, JJ, 1
PRP, VBN, VBG, 6
VBD, IN, VBN, 32
NN, CC, WP$, 2
VBG, WRB, NNS, 1
DT, NNS, MD, 186
VBP, VBZ, TO, 6
NN, PRP, VBP, 479
IN, RB, WRB, 15
JJ, IN, VBN, 26
CC, WP, RBR, 2
VBN, PRP$, TO, 6
NN, WRB, NN, 44
IN, JJ, DT, 192
VBP, IN, PRP$, 68
RB, VBP, JJ, 79
DT, JJS, PRP, 7
PRP$, NN, JJR, 7
RB, JJ, DT, 135
DT, RB, WP, 1
CD, CD, NN, 2
EX, VBZ, RB, 58
DT, CD, CD, 4
MD, VB, PDT, 5
CC, WDT, VBZ, 4
NNS, VBZ, NNS, 11
NNS, RB, CD, 11
TO, DT, VBG, 10
VBZ, IN, MD, 1
VBN, RBR, VBN, 2
VBP, JJ, VBZ, 1
VBG, TO, VB, 422
JJ, NNS, MD, 199
CD, JJ, VBZ, 4
RB, VBN, WRB, 15
VBD, RBR, JJ, 10
CD, RB, VB, 1
RP, WP, NNS, 3
NNS, DT, VBZ, 8
NN, VBD, RBR, 9
RB, VBZ, WRB, 6
NN, VBN, RBR, 2
DT, IN, JJ, 43
WDT, NN, TO, 7
VBZ, JJ, VBP, 1
VBZ, JJ, MD, 1
JJR, IN, RB, 13
RB, EX, JJ, 1
WRB, NN, NNS, 11
WP, VBZ, CC, 1
NNS, WDT, IN, 28
VBZ, DT, RB, 75
VBN, CC, VBZ, 5
VBP, WRB, NN, 4
RB, VBG, WP, 3
NN, PRP, NNS, 3
JJR, NN, VBG, 3
JJ, CD, CD, 5
RP, MD, RB, 2
VBD, DT, JJ, 832
NN, VBN, EX, 1
WDT, NNS, NN, 1
DT, CC, RB, 14
RB, PRP$, PRP, 1
VBP, RB, JJ, 223
EX, VBD, CC, 1
RB, EX, VBN, 1
RB, VBN, VBN, 87
NNP, VBP, VBD, 2
VBD, JJR, RB, 9
TO, VB, NN, 816
VB, CC, WDT, 2
WDT, VBN, DT, 37
CD, NN, PRP, 45
JJ, VBZ, PRP$, 4
VBD, JJ, VBP, 1
VBG, VBZ, JJR, 1
VBZ, WRB, IN, 2
CC, CD, CC, 7
VB, RBS, JJ, 4
RP, IN, VBN, 7
WRB, IN, CD, 1
VBG, VBD, JJ, 4
WDT, VBP, RBR, 1
RB, VBZ, WP, 5
RB, VBP, WP, 25
VBG, CC, CD, 1
CD, IN, CD, 12
DT, WDT, VBD, 5
VBD, IN, VBG, 30
CD, NNS, CD, 15
RB, RBS, RB, 1
VB, NN, MD, 3
VBG, JJ, NNS, 117
VB, VBN, JJ, 73
IN, NNS, VBP, 234
JJR, NN, PRP, 14
PRP, WRB, VBD, 1
VBZ, WP, DT, 5
VBG, VBD, JJR, 1
VBP, NN, CC, 36
WP, PDT, RB, 1
PRP, VBG, DT, 24
VB, NNS, WP, 6
JJ, VBN, WRB, 1
PRP, CC, IN, 52
MD, CC, IN, 5
RP, NNS, VBG, 3
JJ, VBZ, WRB, 2
TO, DT, VBN, 37
EX, VBD, NNP, 1
VBD, NNS, IN, 151
PRP, RP, DT, 8
DT, VBG, NNS, 62
TO, PRP$, JJS, 1
WDT, NNS, NNS, 1
NNS, VB, CD, 1
NN, NNS, VB, 27
VBN, VBD, PRP$, 4
RB, CD, VBD, 3
DT, JJ, VBD, 78
RP, VBN, PRP, 2
CC, VBZ, DT, 40
WRB, VBD, IN, 1
JJ, TO, PRP$, 43
VBN, VBG, VBD, 2
CC, NN, WP, 12
VBZ, JJ, VBG, 3
PRP$, IN, NN, 17
IN, CD, JJR, 3
PRP, TO, RB, 1
JJ, RBR, NNS, 12
VBN, NNS, NN, 21
DT, WRB, MD, 4
WDT, JJ, NNP, 1
VB, JJR, TO, 9
VBZ, WRB, VBD, 1
VBP, VB, DT, 3
IN, PRP$, VBN, 55
WRB, JJ, PRP, 74
IN, MD, PRP, 3
PRP, MD, PRP, 17
JJS, VBD, RB, 3
JJ, VBZ, RB, 42
VBG, WP, TO, 3
JJS, VB, IN, 1
VB, RB, PRP, 27
NN, WRB, VBN, 12
CD, VBZ, NNS, 1
VBG, PRP, TO, 48
VBD, IN, WRB, 8
WP, DT, JJR, 1
VBP, RP, JJ, 7
VBD, PRP, WDT, 1
WP, NNS, RB, 7
VBN, IN, VBD, 4
NN, RP, RB, 5
JJS, JJ, VBZ, 2
VBD, VBZ, VBG, 2
NNS, RB, WP, 1
NNS, VBD, RP, 41
NNS, WRB, PRP$, 7
DT, DT, VBD, 6
VBZ, NN, IN, 169
VBG, WP, DT, 4
CC, VBN, IN, 107
DT, VBG, WDT, 1
NN, RB, WDT, 3
NN, NNS, VBP, 481
NNS, NN, VBG, 7
PRP, WDT, RB, 2
RP, VBN, IN, 4
RB, CC, CD, 4
NNS, IN, NN, 1866
VBN, VBP, JJ, 8
VBN, NNS, JJ, 14
PRP$, VBN, IN, 7
NNS, VB, DT, 10
NN, CC, JJR, 51
JJ, CC, VBD, 92
WP, VBN, PRP$, 16
RB, JJR, MD, 1
JJ, RBR, VBP, 1
NN, RBR, DT, 1
NNS, WDT, RB, 31
VBG, VBZ, VBG, 2
VBN, IN, EX, 15
DT, VB, VBN, 4
RBR, VBN, RBR, 1
CC, VBG, PRP, 46
DT, VBP, NNS, 8
DT, RB, NN, 136
MD, NNS, RB, 1
NNP, DT, RB, 1
NN, PRP, CC, 45
VBG, NNS, JJS, 1
PRP, VB, NN, 25
NNS, CD, IN, 14
VBD, WDT, RB, 1
CD, NN, CD, 4
VB, VBN, NN, 85
IN, PRP, JJS, 1
WDT, VBP, RB, 41
VB, RP, EX, 2
MD, CC, RB, 1
VBD, RB, RBR, 8
VBP, VBN, CC, 51
NNS, NN, RB, 32
IN, CD, JJ, 107
RBR, RB, VBN, 14
JJ, NN, WP, 84
VBG, IN, DT, 734
RBR, NN, IN, 9
VBZ, JJ, VBN, 8
CD, JJR, WP, 2
WRB, DT, VBP, 1
WRB, VBG, DT, 9
DT, NNS, PRP, 199
IN, VB, VBN, 5
RBR, VBP, DT, 1
VBG, PRP, VBG, 10
RB, NNS, PRP$, 1
CC, DT, NN, 1333
CD, NN, NNP, 1
NN, NNP, CD, 1
VBP, RB, NN, 11
DT, NNP, NN, 135
DT, EX, VBD, 5
EX, CD, NNS, 1
PRP, VBN, NN, 6
VBP, WRB, VBZ, 2
WDT, VBN, TO, 7
RP, RB, WDT, 1
VBD, VBN, PRP, 203
CD, VBZ, VBN, 12
PRP, NN, VBG, 1
JJR, NNS, TO, 17
WP, IN, RB, 1
PRP, VBG, RP, 6
PRP, VBZ, RBR, 17
VBD, WRB, VBN, 3
IN, NNS, MD, 72
PRP$, JJ, IN, 28
CC, DT, PRP, 12
VBN, DT, NNS, 96
NNP, VBD, WP, 2
RBR, RB, PRP, 2
CC, RB, NNS, 28
PRP, VBD, MD, 23
WP, VBZ, NN, 2
DT, VBZ, VBG, 14
IN, JJR, IN, 53
VBZ, RP, VBZ, 1
VB, VB, PRP, 4
DT, JJR, TO, 1
NNS, VBZ, NN, 27
NN, -NONE-, VBG, 1
VB, VBP, IN, 4
JJ, NNS, RB, 275
VBP, PRP$, NN, 106
EX, VBP, TO, 1
VBZ, IN, RB, 34
NNS, PRP$, NN, 82
CC, WDT, PRP$, 1
JJ, PRP, VBG, 2
NNS, TO, VBN, 1
DT, JJ, NN, 9295
CC, VBP, WRB, 1
VBP, -NONE-, NN, 1
VBP, VBG, TO, 37
VB, VBD, VBG, 2
JJ, IN, NNP, 10
JJ, VB, RB, 2
VBD, IN, RB, 75
NNP, NNP, NNP, 22
VB, CC, WP, 5
VBP, VBG, WRB, 1
CC, CD, PRP$, 1
JJ, NN, JJ, 256
WP, VBP, DT, 19
NN, WRB, EX, 10
VBD, CC, CD, 5
VBZ, RB, PRP$, 12
DT, RBS, VBN, 3
PRP, VBD, WRB, 61
VBD, WRB, RB, 5
NNS, MD, CC, 4
WDT, VBG, NNS, 3
CD, IN, IN, 7
VB, TO, WP, 2
RP, NNS, VBP, 2
RBR, IN, PDT, 2
WRB, RP, VBG, 1
TO, IN, CD, 2
JJR, PRP$, NNS, 5
VBP, WP, DT, 6
DT, IN, JJR, 2
NN, VBZ, NNS, 52
NNS, VBG, WP, 1
CD, DT, VBZ, 1
NN, WRB, TO, 6
VBP, RP, EX, 1
WDT, NNS, CC, 4
CC, RB, VBP, 51
JJS, TO, VB, 21
JJ, WP, VBP, 4
JJ, VBN, RP, 8
VBD, JJS, IN, 7
TO, NNS, WP$, 2
CC, VBP, MD, 2
VB, RB, NN, 32
CD, CC, VBP, 1
JJ, VBZ, RP, 1
RB, CC, JJS, 2
WRB, JJ, DT, 37
IN, NN, CD, 29
IN, PRP$, VBG, 14
CC, JJR, DT, 3
VBD, RB, JJR, 39
DT, PRP$, JJ, 19
CD, VBZ, VBG, 3
CC, VBG, VBP, 4
MD, IN, PRP, 3
WDT, NN, VBG, 2
VBN, EX, TO, 1
VBD, VBD, JJR, 1
VBP, RP, CC, 14
WDT, IN, DT, 26
VBD, RP, PRP, 8
IN, CC, JJ, 24
RBR, VBG, DT, 1
NN, WRB, PRP$, 22
WP, IN, IN, 2
DT, CD, RBR, 1
VBZ, IN, VBZ, 5
NNS, WDT, CD, 2
TO, WP, VBN, 2
JJR, NNS, JJ, 2
VBD, RP, DT, 140
VBD, MD, VB, 44
VB, DT, VBN, 43
JJ, NNS, VBZ, 121
IN, JJ, VBZ, 21
PRP, IN, WDT, 2
JJS, VBN, DT, 2
VB, RP, WRB, 6
MD, VB, VBD, 15
VBZ, NN, VB, 1
NN, CC, DT, 1118
IN, JJS, VB, 2
NNP, NN, CC, 53
WRB, NNS, VBZ, 1
NN, JJ, VBD, 9
VBD, VBG, VBD, 4
VBN, VBD, DT, 15
CC, JJR, PRP, 1
VB, VBN, VBD, 2
DT, JJR, JJ, 29
RBR, IN, JJR, 1
JJS, JJ, CC, 13
WRB, RB, VBZ, 1
VB, PRP$, RP, 4
CD, -NONE-, NN, 1
RB, PRP$, VBN, 2
VBZ, DT, CC, 2
JJ, VBZ, PRP, 6
PRP, RBR, IN, 1
CC, VBG, NN, 89
NNS, WDT, MD, 70
VBD, CD, RP, 1
NN, JJR, JJ, 12
JJR, JJ, NN, 70
TO, DT, MD, 3
WP, RBR, VBZ, 1
JJ, RB, NN, 18
VBG, NN, MD, 21
NN, WP$, NN, 25
RP, DT, NNS, 53
JJR, IN, TO, 5
IN, VBG, VBP, 1
WDT, RB, NN, 3
IN, IN, WP, 5
CD, CD, IN, 2
PRP, NN, TO, 10
VBN, MD, PRP, 1
DT, RBS, VBG, 13
WDT, VBP, RP, 2
VBP, TO, NN, 25
VBD, CC, WDT, 2
JJ, DT, MD, 3
NNP, VBP, JJ, 1
VBZ, JJ, PRP$, 3
VB, NN, DT, 60
RB, IN, CC, 27
DT, NNS, -NONE-, 1
TO, VBG, PRP, 1
IN, RB, RBR, 4
CD, JJR, TO, 1
PRP, JJ, CC, 12
TO, WDT, DT, 11
TO, VB, DT, 2068
NN, NNS, NNS, 124
VB, CD, VBD, 1
VB, IN, PRP$, 195
JJ, VBZ, VBN, 51
NNP, RB, VBZ, 3
VBP, RB, WRB, 11
VBD, VB, IN, 18
VBG, IN, VBN, 3
VBN, CC, NNP, 2
JJ, WP, VBG, 1
VB, PRP$, WRB, 1
DT, JJS, IN, 53
WP, NNS, MD, 8
DT, VBD, JJ, 25
PRP$, TO, JJ, 2
PRP, VBD, JJS, 16
RB, NN, MD, 22
VBZ, NNS, TO, 5
NN, JJS, IN, 15
CC, IN, MD, 6
VBP, WRB, DT, 10
NNS, WP, VBZ, 9
VBN, PRP$, VBD, 1
WP, NN, NNS, 1
VBG, PRP, WRB, 2
NNP, IN, DT, 3
VBN, VBG, NN, 28
TO, PRP$, IN, 18
IN, JJR, PRP$, 3
JJR, NNS, RB, 9
TO, IN, JJ, 1
VBP, IN, VBZ, 6
CC, RB, NN, 65
JJR, PRP$, NN, 6
PRP, NNP, NN, 6
NNS, WDT, NNP, 1
EX, VBD, VBN, 27
PRP$, VBZ, RB, 1
JJ, VBP, RB, 10
RB, WP, NN, 4
IN, WDT, VBN, 5
NN, DT, VBP, 7
VB, NN, RP, 5
NN, VBD, JJR, 44
JJ, CD, NNS, 69
VBG, CD, CC, 2
PRP, JJ, PRP, 1
NN, WDT, CD, 6
EX, VBZ, JJR, 5
TO, NNS, MD, 4
CC, VB, CD, 4
PRP$, NN, RB, 247
RB, EX, CC, 1
NN, VBZ, NN, 278
NN, RBR, VBG, 3
RB, IN, PRP, 579
VBD, VBN, CD, 29
NN, VBP, NN, 18
RBR, IN, PRP$, 3
VBG, DT, PRP, 3
TO, IN, NNP, 1
CC, RB, PRP, 155
NN, TO, RBR, 4
WDT, VBZ, PRP$, 5
CC, NNS, CC, 95
PRP, WP, PRP, 9
PRP, VBG, NN, 16
CC, WRB, CD, 2
VBN, RB, JJ, 79
-NONE-, VBN, VBN, 1
NN, VBN, JJ, 24
IN, JJR, CC, 14
VB, RB, VBZ, 7
-NONE-, VBZ, PRP, 1
EX, VB, DT, 4
IN, VBD, NNS, 11
NN, TO, NN, 263
RBR, NN, PRP$, 1
IN, IN, PRP$, 170
WP, PRP$, NNS, 7
NN, JJS, PRP, 2
NNS, NNS, NN, 11
VBD, PDT, VBN, 13
CC, TO, WDT, 2
JJ, CD, WDT, 5
NN, JJR, TO, 2
JJR, VBP, PRP, 1
VBD, WP, VBD, 14
TO, DT, CC, 10
CC, EX, VBN, 1
JJ, NNS, EX, 17
CC, IN, VBD, 19
VBD, TO, VBN, 6
VB, WP, CC, 1
TO, WRB, DT, 7
VBG, WP, VBZ, 1
IN, RB, CC, 50
JJR, NN, TO, 17
